Name;Meta
Neverwinter - Shops;no
Spells;
Heroism;
Mirror Image;
Tongues;
Light;
Spare the Dying;
Mending;
Guidance;
Inflict Wounds;
Heroism;
Bless;
Zone of Truth;
Gentle Repose (Ritual);
Aid;
Dispel Magic;
Daylight;
Guardian of Faith;
Control Flames;
Lightning Dart;
Dancing Lights;
Minor Illusion;
Feather Fall;
Detect Magic (Ritual);
Magic Missile;
Alarm (Ritual);
Comprehend Languages (Ritual);
Color Spray;
Identify (Ritual);
Spider Climb;
Melf's Acid Arrow;
Continual Flame;
Water Breathing (Ritual);
Nondetection;
Blink;
Hallucinatory Terrain;
Evard's Black Tentacles;
Immolation;
